id,label,description,rights,meta.Agent,meta.Alt Text,meta.Cultural Context,meta.Date,meta.Location: Current,meta.Location: Place of Origin,meta.Rights,meta.Style Period,meta.Subject,Meta.Worktype
000672,Morris: Red House,"This is an L-shaped two-story red brick building with a steeply-pitched roof made of red tiles and topped by five chimneys. Five round, three square, and four rectangular windows overlook a green lawn and ornamental shrubs where a brick circular gazebo with a cone-shaped roof stands.",Public Domain,William Morris and Philip Webb,An L-shaped two-story brick mansion made of brick with steep roof and five chimneys.,"Northern and Western European, British, Arts and Crafts",CE 1860,"Upton, Bexleyheath, Greater London, London, England","Bexleyheath, London, England",Public Domain,"19th Century CE, Arts and Crafts",Arts and Crafts,Architecture
000673,Morris: Strawberry Thief,This piece of fabric is covered with a repeating pattern that depicts light colored birds with brown spots on their bellies and brown wings (thrushes) amid strawberry plants. Groups of three strawberries are interspersed with white strawberry flowers and leaves of different shades of green.,Public Domain,William Morris,"Repeated pattern of birds and strawberry plants, printed on fabric.","Northern and Western European, British, Arts and Crafts",CE 1883,"MoMA (Museum of Modern Art), New York City","Merton Abbey, England",Public Domain,"19th Century CE, Arts and Crafts",allover pattern,Textile
000674,Mortuary Temple of Hatshepsut,Hatshepsut’s Mortuary Temple is positioned against high cliffs. There are three layered terraces with columns. Two ramps bisect the span of colonnades on the first and second levels.,GNU Free Documentation License Wouter Hagens,Senenmut,A temple with three horizonal levels is carved into a cliff.,"Ancient Egyptian, New Kingdom",BCE 1473-1458 ,"Deir El-Bahri, Egypt","Deir El-Bahri, Egypt",GNU Free Documentation License Wouter Hagens,"2nd Millennium BCE, New Kingdom",Hatshepsut,Architecture
000675,Mosque Lamp of Amir Qawsun,"This hanging glass lamp is shaped like a wide-mouthed vase standing on a round glass footing. Blue Arabic script appears on the middle register, over a background of vine-shapes. Small glass eyelets are fused to the surface around the middle register, probably used for hanging. The upper register band around the neck shows a floral motif, interrupted by a disc-shaped painted window-frame within which is a painted black silhouette on a yellow ground, with a line representing a horizon across the circle. ",CC 1.0 Universal Public Domain,Ali ibn Muhammad al-Barmaki ,"A glass lamp is shaped like wide-mouthed vase. Blue Arabic script appears on the side, and a floral motif encircles the neck. ","African, Egyptian, Egyptian Muslim",CE 1329,"The Metropolitan Museum of Art, New York, NY, USA",Egypt,CC 1.0 Universal Public Domain,14th Century CE,Islam,Sculpture
000676,Mosque of Ibn Tulun with minaret and domed sabil ,"The courtyard of a mosque, dominated by a multi-tiered dome at the center and surrounded by a covered peristyle, is seen with a multi-tiered minaret with ""corkscrew stairs"" at rear left.",CC BY-SA 4.0 Photo by Diego Delso,Unknown  ,"The courtyard of a mosque, dominated by a multi-tiered dome at the center and surrounded by a covered peristyle, is seen with a multi-tiered minaret with ""corkscrew stairs"" at rear left.","African, Egyptian, Muslim",CE 878 ,"Cairo, Egypt","Cairo, Egypt",CC BY-SA 4.0 Photo by Diego Delso,9th Century CE,Islam,Architecture
000677,Mount Kuanglu 匡廬圖,"On a rectangle of silk, cliffs drawn in ink are surrounded by fog. They rise above a valley showing a mountain stream that falls through pine trees in the foreground and leads to a small cabin in the lower left corner.",Public Domain,Jing Hao 荆浩,"On a rectangle of silk, cliffs drawn in ink are surrounded by fog. They rise above a valley showing a mountain stream that falls through pine trees near a small cabin.","East Asian, Chinese, Tang Dynasty",CE 900,"Palace Museum, Taipei, Taiwan","Taihang Mountains, China",Public Domain,"10th Century CE, Tang Dynasty","shan shui, mountains",Painting
000678,Mount: Farmers Nooning,"This oil on canvas painting shows three young farmers resting in the shade of a tree while another drowses in the sunshine on a stack of cut straw.  A boy tickles the sleeping man's ear with a piece of straw.  Various hay harvesting tools (scythe, rake, pitchfork) are present; a split-rail fence and another haystack are visible in the background under a blue cloud-spotted sky.","ArtStor: University of California, San Diego",William Sidney Mount,"Five farmers rest under a tree near a field and on a haystack, with farming tools around them.","American, Genre Painting",CE 1836,"The Long Island Museum of American Art, History & Carriages, Stony Brook, New York, USA","Long Island, New York, United States","ArtStor: University of California, San Diego",19th Century CE,genre,Painting
000679,Mountains and Pines in Spring ,"On a square silk canvas, mountain peaks emerge from mist in the upper half, while below them in the foreground are pine trees standing by a pavilion.",Public Domain,Mi Fu 米芾,"On a square silk canvas, mountain peaks emerge from mist in the upper half, while below them in the foreground are pine trees standing by a pavilion.","East Asian, Chinese, Song Dynasty",CE 1100,"National Palace Museum, Taipei, Taiwan","Taiyuan, Shanxi, China",Public Domain,"12th Century CE, Song Dynasty","shan shui, mountains",Painting
000680,Mummy portrait of a priest of Serapos,"A painted face and shoulders of a bearded man shows him wearing a white open-necked tunic. His eyes are open, and he wears a band around his dark curly hair, with a gold star centered on his forehead.",CC BY-SA 3.0 © The Trustees of the British Museum,Unknown,A painted face and shoulders of a bearded man shows him wearing a white open-necked tunic.  His eyes are open. ,"Ancient Roman, Roman Egyptian, Imperial Roman",CE 140-160 ca.,"British Museum, London","Hawara (Falyum), Egypt",CC BY-SA 3.0 © The Trustees of the British Museum,"2nd Century CE, Imperial Rome",portriat,Painting
000681,Mummy-case of Djedmaatesankh,This coffin is made of linen and glue — cartonnage — that is painted with pictures of gods and amulets. The central register depicts her being led by Horus to Osiris.,CC 1.0 Universal Public Domain,Unknown,A coffin is painted with pictures of gods and amulets.,"Ancient Egyptian, 3rd Intermediate Period",BCE 945-715,"Royal Ontario Museum, Toronto, Canada. Galleries of Africa: Egypt","Western Thebes, Egypt",CC 1.0 Universal Public Domain,"10-8th Century BCE, 3rd Intermediate Period",Djedmaatesankh,Sculpture
000682,Munch: The Scream,"This portrait was made on cardboard using oil, tempera, and pastel.  In the foreground, a ghost-like figure whose body is little more than a blue-gray curve holds his hands up to each side of his head. His eyes are wide, and his mouth is open as if he is screaming. Behind him, on the left of the canvas are two tall blurry outlines of people walking on a bridge.  Opposite the angular bridge are swirling lines of dizzying blues, yellows, and oranges that suggest water and sky. Two boats can be seen in the distance, shadowy suggestions of form against bright yellow and light blue swirls.",Public Domain,Edvard Munch,A man on a bridge holds his hands on each side of his face and screams.,"Northern and Western European, Norwegian, Expressionism, Symbolism, Modernism",CE 1893,"National Gallery of Norway, Oslo, Norway",Norway,Public Domain,"19th Century CE, Expressionism, Symbolism, Modernism",Proto-Expressionism,Painting
000683,Munch: The Sick Child,"This oil-on-canvas painting depicts the title's sick child, an adolescent girl with reddish hair and pale skin, sitting up in bed under a light green blanket. She holds the hand of a dark-haired woman who sits or kneels next to her. A water bottle on a table is nearby.  A window partly covered by a dark bluish-black curtain lets in a little light.",Public Domain,Edvard Munch,A girl in bed holds hands with a dark-haired woman sitting or kneeling next to her.,"Northern and Western European, Norwegian, Expressionism, Symbolism, Modernism",CE 1907,"Tate Modern, London","Warnemünde, Germany (?) (1st version painted in Oslo, Norway)",Public Domain,"20th Century CE, Expressionism, Symbolism, Modernism",portrait,Painting
000684,Musicians Bonampak Mural ,"A frescoed wall painting in room 1 of the Mayan Temple at Bonampak shows on a lower register a row of 7 musicians. Five of them stand in profile, holding two scepter-shaped, plumed instruments in each hand, shirtless, wearing floor-length skirts and nearly identical headdresses. Two figures on the left stand facing the viewer, one holding a drum and the other holding aloft a parasol shape that is similar to the headdresses of the other musicians. ",CC BY 2.0 © 2004 Jacob Rus,Unknown,"Seven musicians are painted on a wall holding instruments. All are shirtless, wearing floor-length skirts and nearly identical headdresses.","North American, Mexican, Mesoamerican, Mayan",CE 790,"Bonampak, Chiapas, Mexico","Bonampak, Chiapas, Mexico",CC BY 2.0 © 2004 Jacob Rus,8th Century CE,Maya,Painting
000685,Muybridge: Woman Walking Downstairs,"Series of photographs of a nude woman walking down a flight of stairs, taken at exactly even intervals, which would allow the still photos to be animated if viewed in sequence at the right side (as in a flip book)",Public Domain,Eadweard Muybridge,Series of photographs of a nude woman walking down a flight of stairs,"American, Realism",CE 1887,Unknown,"Philadelphia, United States",Public Domain,"19th Century CE, Realism",nude,Photography
000686,"Nandi, mount of Shiva","A bull with horns is shown in profile, laying on the ground with one foreleg extended. Its crowned head is erect and gazing forward. Strings of beads encircle the neck, body, and legs. ","ArtStor Philadelphia Museum of Art Collection, formerly in The AMICO Library",Unknown,"A bull with horns is shown in profile, laying on the ground with one foreleg extended. Its crowned head is erect and gazing forward. Strings of beads encircle the neck, body, and legs.","South Asian, Indian, Indian Hindu",CE 1200-1250,"Philadelphia Museum of Art, Philadelphia, PA, USA","Mysore, Karnataka, India","ArtStor Philadelphia Museum of Art Collection, formerly in The AMICO Library",13th Century CE,bull,Sculpture
000687,Narasimha (fourth avatar of Vishnu),This sculpture of a lion-headed man wearing a crown holds a wounded man in his arms. ,"ArtStor, The American Council for Southern Asian Art (ACSAA) at the U Michigan, photo credit © Barbara Wagner",Unknown,Sculpture of a lion-headed man wearing a crown holding a wounded man in his arms.,"South Asian, Nepalese, Nepalese Hindu",CE 1673,"Nasal Chowk, Kathmandu, Nepal","Kathmandu, Nepal","ArtStor, The American Council for Southern Asian Art (ACSAA) at the U Michigan, photo credit © Barbara Wagner","17th Century CE, Three Kingdom Malla",Narasimha,Sculpture
